com.samsung.shealth.tracker.pedometer_step_count,6200039,2,,,,,,,,,,,,,,,
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
20378,4,0,37,26:00.0,,,35:54.5,35:54.5,37,1.4166666,28.87,1.4,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,27:00.0,8cdc4a53-06e7-48b3-a06d-d4422e5184e1
11862,4,0,24,15:00.0,,,35:39.0,35:39.0,24,1.6666666,19.77,0.89,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,16:00.0,add9f762-c40a-4791-8039-0cb9953d232e
15892,4,0,28,18:00.0,,,37:50.3,37:50.3,28,1.3333334,21.19,1.05,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,19:00.0,26c88eba-b41e-414f-b7c5-c7e0cb540cf7
30593,4,0,58,03:00.0,,,15:43.9,15:43.9,58,1.4722222,45.04,2.25,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,04:00.0,8f734a8d-88c5-4708-b05f-d6241a3d2eb0
37743,4,0,70,54:00.0,,,55:39.3,55:39.3,70,1.4166666,53.47,2.77,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,55:00.0,e2d46a22-d8f3-47a9-83ec-1de8dee2e2ab
4011,4,0,8,10:00.0,,,15:19.4,15:19.4,8,1.5555556,6.24,0.32,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,11:00.0,9baf713c-cad3-47ce-bce3-927407206a52
7356,4,0,14,44:00.0,,,55:53.3,55:53.3,14,1.4722222,10.83,0.52,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,45:00.0,ef69e8b5-0d36-4e2c-ac13-312d061c6097
45821,4,16,82,18:00.0,,,34:16.9,34:16.9,98,1.7777778,81.46,4.45,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,19:00.0,02344c84-0b1a-4bba-bfa1-fa2111e98db7
26343,4,1,55,17:00.0,,,35:40.2,35:40.2,56,1.7222222,45.37,2.18,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,18:00.0,90543385-d0cf-4d67-9489-c01cf9db5c96
14088,4,6,26,38:00.0,,,55:00.6,55:00.6,32,1.8611112,26.22,1.45,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,39:00.0,d60644b1-960f-4a27-9699-4771275943f9
